uuid,walk_group
2c404c2b-b957-5737-baaa-f2efe789491f,BAY
a391b326-4a0c-5798-adbd-2e7adc47fc31,BAY
0e4ed71b-9ece-596c-806d-59352df6845f,GNW
19ddb834-9f20-5392-bf41-17cf2b0d1740,NEW
9e9c5a9b-6d28-54d7-88bd-03ac490421fa,BAY
25c839c3-6168-599a-b285-d03ef555b2d3,BAY
34a12489-24d1-51e6-9f02-2b250909e1ed,BAY
16d403b5-4a3e-562a-9a0c-46726f6ae279,GNW
ec9938ee-65f8-5042-9a64-8dd37737f7b5,BAY
968f15c4-e918-59f4-a42a-889b76467ce6,BAY
2ff53f1c-d615-5aa3-b744-6868e3b742d7,BAY
18bbcdb8-890a-52e9-80d0-7755dc6f0af8,BAY
1cf659a1-f187-5e02-a7fe-014714897c55,HHILL
9eb4c9dd-a762-5e4d-b2bc-236157559c65,BAY
7ac940e7-f27b-57a7-bf61-ded9dd48a98d,BAY
e2756c77-2a06-5c29-99f8-f1396af90140,LOCAL
e5c9476e-f17f-572c-936e-3dce29afd94a,SYD
af779630-f778-5fa8-82c8-6777b42d0d3d,BAY
722d6abe-fe46-5adc-97fe-0a5d30f66754,CITY
f877d909-b5a1-5afc-a4cd-eefda44fff38,CITY
41a2caa7-d0c4-537c-a91b-9b4ac0a88ec3,BAY
fdcff3b2-df21-515f-a817-cf2711b512f0,LOCAL
507ea889-bd80-5b80-9568-eed179b1f79f,GNW
4682bfdf-9828-577e-aeb6-9fe4745b3e57,LOCAL
3d03c1be-4683-57cf-8590-8568eb1bcf69,LOCAL
7de83bbb-01c5-56f7-81a1-d9557348d460,LOCAL
b0ed294c-c003-5828-a161-cf87698bbb7b,BAY
e85d6e26-20d3-5de7-b64d-ff41c673df96,BAY
29687ac6-f883-5026-82b8-164123dcb92f,GNW
d608fc0d-f517-5355-885d-2496b783925d,LOCAL
6b8d1c63-e630-5433-ba0f-9232cf639026,LOCAL
560c8e2e-25b9-5a94-b777-2984a9a14be4,BAY
065e0501-2412-5021-b15b-910a6a38e494,BAY
17a1539c-3cd9-5267-a0ca-ffbc4655ac71,BAY
b9c6454b-9e25-512d-a4cc-f9035c0462d9,BAY
234c7b0d-fc34-5b6d-a15c-65ee15bc5c17,LOCAL
8568cc1b-326e-508d-9a66-9a07e5bbc7ad,BAY
9ef689da-8c92-5791-8052-7df2f7c2e2bd,GNW
047c1e3f-4555-588d-b7a2-6ef991cc2b73,GNW
c17ded05-58eb-5bc9-8e19-d3d9f6ccb55a,LOCAL
aec7ba59-979b-5227-aed0-b957249e5eea,LOCAL
ae5f8897-43cd-5693-9966-f020cb3bb7c0,LOCAL
47f86f1d-6e49-5d2b-a373-a8765068186e,BAY
9dee1ffa-7266-5b53-840e-6abe16f7a012,BAY
f17d6106-f097-5dbb-8c78-ca970b4a0a5a,BAY
c27acac9-b48a-5ccb-b59d-56043a3cfe73,LOCAL
fca3f867-0419-5803-8fe9-f615ba1ef96b,LOCAL
5e921dad-7a8f-52b0-94b6-af41528f8dd0,GNW
390e8eb1-1a59-529e-97b0-f19971636049,LOCAL
303e4927-a93a-5431-aea6-80c331da96e7,LOCAL
8c4d5357-e89b-56ba-9847-dc8195dc96e3,GNW
838f9ef5-ab04-570c-8594-103686e3da85,BAY
3940a77a-c112-531a-a807-0d8ceaa30a63,BAY
6d1b64aa-cea4-5a32-b82b-85c2d5eba1ef,LONGCN
ba6e86bc-711d-5e43-92b7-d19c2d60dce7,NOT
2cc0869f-c2cb-53c1-99cf-f26f2f5cd4c2,XNCN
57177b30-80c6-5420-8ab5-26562a3e2401,WUCN
276baf57-f67e-5149-bdf9-f14f3784f0b2,WUCN
9572d513-6315-5f3c-b0b0-0b8cf7e8d323,WUCN
6473be52-9313-5517-b950-2d391d474cb9,FECN
56e2b3b8-c780-504b-9daf-a86f84ebb8bc,HZCN
448c04df-e73e-5b2c-b365-f4e3da364c05,SHCN
7e1d5de2-a97b-5686-b882-1ff272a23f53,SHCN
185dcd13-bc25-502c-8ac7-5f5e968000cc,GNW
eeac36c8-56e4-5c24-b7eb-4e65a620ec04,GNW
2d16ba22-3a84-542d-a9cb-931cab5fe26f,BAY
b553c415-787e-5438-adec-29a122c30552,LOCAL
62cb9cc8-b97e-58c7-aa84-4e0db0a8bcf9,GNW
7a929a04-400a-570d-a32b-4b9123155411,LOCAL
78c2950f-12f9-5bc1-8046-bbe09d015698,NOT
5c47c965-70ac-5a80-8f73-f4ee5daafe65,BAY
0767b4bb-30be-5f6a-b5ee-afbf26c72f29,LOCAL
d2478f52-5354-5633-871c-b458ff99b33f,NEW
314cfe66-77a7-5e1c-8649-8aa2ac364761,LOCAL
b398ed6f-f51f-5fc4-95cd-d7b6005ace17,CITY
7b1b7b6b-e34d-5d96-b788-74409fc696bd,LOCAL
71c5456d-d078-5927-b85e-0b3b0e696611,BAY
3e300352-1490-5c3d-b4bb-98d87bb23926,BAY
9824021f-6dd8-5b3a-991c-8085eabf57dd,GNW
caa69b92-809d-5ecd-9ff1-95da913b4706,BAY
d3d3dc36-ce07-560a-a28e-0a52ff3dbb79,SCAR
846eac4e-a89b-59cb-a2e0-662fed1ae42f,SCAR
11dca898-89ab-50c1-af27-aebce433eac4,SCAR
1c8803cf-fcb0-5401-95e5-23c272fda977,ACT
040d8d2e-3e2f-5245-913e-5b6f45a2df9b,LOCAL
c291cb75-3852-58a9-b138-f38f49fce248,BAY
2d45689d-cd06-56de-9943-d888e2de8452,LOCAL
b014256c-e573-5082-b83d-644ec7d2f6a3,LOCAL
4c021b31-3c13-56da-a7d0-1b6af07e361e,BAY
8693467c-20d0-5fcc-a89a-f003ce1b3510,NOT
ec806b27-fca3-586b-a0b4-7921a648e903,BAY
835d0c1b-70c9-581e-9fd3-8f30baea22ec,ADE
868f1103-0bf9-5f59-8202-11326ef1a143,ADE
4bf134ae-8ac1-55b1-8019-66dd17561526,LOCAL
b2400491-6ef3-57dd-84f2-4eb08993fccc,LOCAL
ec7a4e12-fee8-5de4-bb42-f296f38ca417,LOCAL
